Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.051952,0.066876,0.092227,0.092285,0.244344,0.244375
0.000836,0.015191,0.038452,0.038508,0.111952,0.111983
0.00077,0.012521,0.034506,0.034555,0.089601,0.089627
0.000761,0.015715,0.039318,0.039369,0.102515,0.102542
0.000819,0.009133,0.027159,0.027212,0.07326,0.073296
0.000844,0.01289,0.032729,0.032782,0.120231,0.120261
0.000831,0.015358,0.043263,0.043315,0.113058,0.113085
0.000751,0.01501,0.038842,0.038888,0.094723,0.094751
0.000862,0.015342,0.038475,0.038524,0.056508,0.056532
0.000761,0.015311,0.038794,0.038847,0.105398,0.105435
0.000836,0.015926,0.04222,0.042278,0.066606,0.066637
0.000831,0.015637,0.039302,0.039365,0.137515,0.137553
0.000916,0.015899,0.040386,0.04044,0.056915,0.056942
0.000817,0.012783,0.035406,0.035457,0.098997,0.099078
0.000757,0.015122,0.041847,0.041892,0.058441,0.058463
0.000792,0.012496,0.033227,0.033275,0.048179,0.0482
0.00078,0.017789,0.041256,0.041309,0.09151,0.091537
0.0009,0.017685,0.043111,0.043162,0.095714,0.09574
0.000797,0.012022,0.033385,0.033444,0.064453,0.064478
0.000799,0.049459,0.121634,0.121687,0.143436,0.143462
0.000845,0.012568,0.03706,0.037116,0.052073,0.052099
0.000716,0.008993,0.028443,0.028496,0.04235,0.042373
0.000764,0.015015,0.037812,0.037858,0.087694,0.087769
0.001241,0.009772,0.026843,0.026889,0.064869,0.064942
0.000792,0.012563,0.034647,0.034693,0.083084,0.083111
0.000799,0.01502,0.037695,0.037743,0.056876,0.056931
0.000767,0.015588,0.041803,0.04185,0.109541,0.109566
0.000786,0.015374,0.0449,0.044948,0.060767,0.060821
0.000768,0.012186,0.031878,0.031927,0.076598,0.076629
0.000797,0.015916,0.042767,0.042811,0.061641,0.061663
0.000757,0.015033,0.041409,0.041455,0.065329,0.065359
0.000779,0.012208,0.036321,0.036367,0.050518,0.05054
0.000787,0.012459,0.033138,0.033184,0.080864,0.080938
0.000796,0.012304,0.038675,0.038723,0.129999,0.130029
0.000778,0.012287,0.034152,0.034207,0.048012,0.048039
0.00079,0.016072,0.041447,0.041498,0.069584,0.069608
0.000782,0.015496,0.042169,0.042218,0.133506,0.133567
0.000806,0.012133,0.033376,0.033426,0.092265,0.092324
0.000794,0.009195,0.0269,0.026949,0.036887,0.036909
0.000743,0.016105,0.040478,0.040525,0.056959,0.056984
0.000902,0.015817,0.04173,0.041773,0.061332,0.061399
0.000758,0.015494,0.040918,0.040963,0.103108,0.103135
0.000778,0.012186,0.032987,0.033046,0.04589,0.045923
0.000903,0.015358,0.038312,0.038368,0.077895,0.077924
0.000846,0.015034,0.03782,0.037877,0.085524,0.08555
0.00082,0.012291,0.033692,0.033745,0.097803,0.097832
0.000766,0.015119,0.037888,0.037939,0.079218,0.079292
0.000827,0.009019,0.026261,0.02631,0.072501,0.072533
0.00082,0.009137,0.027105,0.027153,0.037998,0.038018
0.000747,0.015555,0.042381,0.042429,0.138625,0.138655
0.00084,0.015613,0.042026,0.042077,0.085902,0.08593
0.000812,0.015468,0.040974,0.041023,0.067939,0.067966
0.00079,0.012277,0.033458,0.033507,0.046612,0.046635
0.000787,0.015002,0.039709,0.039758,0.093123,0.093148
0.000775,0.012746,0.032606,0.032651,0.045801,0.045823
0.000771,0.017348,0.042602,0.042652,0.060262,0.060285
0.000831,0.015549,0.039552,0.039604,0.060617,0.060641
0.000789,0.015671,0.039236,0.039284,0.057187,0.057244
0.000771,0.015124,0.038494,0.038549,0.053795,0.053818
0.000783,0.015564,0.038918,0.038977,0.05718,0.05725
0.00077,0.012585,0.032488,0.032536,0.046051,0.046081
0.000794,0.009348,0.027332,0.02738,0.037208,0.037232
0.000804,0.012664,0.035449,0.035496,0.04838,0.048416
0.00078,0.015125,0.038024,0.038074,0.085151,0.085178
0.000804,0.015575,0.055219,0.055268,0.072662,0.072686
0.000797,0.012657,0.037791,0.037836,0.052558,0.052584
0.000769,0.015098,0.040964,0.04101,0.056345,0.056367
0.000766,0.012185,0.035949,0.035997,0.049614,0.049646
0.000769,0.015223,0.043048,0.043097,0.064026,0.064132
0.000783,0.012503,0.034005,0.034052,0.049252,0.049275
0.000791,0.016227,0.049359,0.049406,0.06553,0.065557
0.000768,0.012446,0.033868,0.033913,0.047675,0.047743
0.000751,0.01552,0.040263,0.04031,0.05677,0.056795
0.001198,0.013341,0.032702,0.032747,0.045332,0.045387
0.00076,0.016626,0.042018,0.042066,0.059045,0.059072
0.000765,0.015239,0.039218,0.03927,0.054766,0.054825
0.000784,0.012099,0.033109,0.033153,0.045719,0.04574
0.00076,0.012216,0.032752,0.032803,0.046793,0.046858
0.000741,0.015196,0.040244,0.04029,0.0663,0.066326
0.000742,0.015866,0.039909,0.039952,0.056248,0.056269
0.000748,0.015054,0.039006,0.039054,0.054743,0.054766
0.000754,0.015596,0.041897,0.041945,0.093339,0.093364
0.000764,0.015226,0.037989,0.038038,0.053732,0.053787
0.000757,0.015352,0.038951,0.039001,0.055949,0.055972
0.000788,0.015646,0.039322,0.039368,0.063375,0.063403
0.000797,0.015674,0.048871,0.048921,0.065969,0.06603
0.000786,0.015507,0.039963,0.040013,0.060218,0.060284
0.000765,0.015099,0.044535,0.044582,0.059985,0.060008
0.000759,0.012158,0.033658,0.033702,0.048086,0.048154
0.000742,0.012764,0.033299,0.033345,0.047145,0.047211
0.000726,0.015592,0.03932,0.03937,0.056761,0.056784
0.00078,0.012079,0.036439,0.036485,0.050322,0.050348
0.000762,0.015502,0.051413,0.051472,0.067759,0.067788
0.000793,0.012205,0.03233,0.032384,0.046788,0.046818
0.000759,0.009128,0.027998,0.028054,0.042626,0.042681
0.000743,0.009579,0.027796,0.027842,0.038701,0.038722
0.000765,0.012479,0.034484,0.034535,0.047995,0.048021
0.000744,0.01504,0.038644,0.038688,0.054924,0.054979
0.000738,0.013137,0.034738,0.034782,0.098206,0.098265
0.000756,0.009194,0.029258,0.029304,0.04903,0.04905
