Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.113126,0.121636,0.146955,0.147011,0.183203,0.183233
0.000825,0.009447,0.02861,0.028667,0.049193,0.049231
0.000725,0.008776,0.030121,0.030172,0.055708,0.055736
0.00079,0.012178,0.034837,0.034889,0.057378,0.057403
0.000781,0.015497,0.031881,0.031935,0.054893,0.054922
0.00079,0.00935,0.029217,0.029274,0.051084,0.051113
0.000807,0.009129,0.037971,0.038028,0.05347,0.053511
0.000726,0.009167,0.027267,0.027326,0.050137,0.050165
0.000734,0.008887,0.027012,0.027063,0.051779,0.051814
0.000868,0.009004,0.029757,0.02982,0.066297,0.066341
0.000879,0.009318,0.02836,0.028431,0.050138,0.050178
0.000813,0.01011,0.029132,0.029189,0.057654,0.057682
0.000795,0.009103,0.026947,0.027008,0.047216,0.047258
0.000779,0.009133,0.029203,0.029261,0.053757,0.053791
0.00076,0.008912,0.032937,0.033008,0.051534,0.051568
0.000769,0.009391,0.027713,0.027778,0.091609,0.09164
0.000811,0.009034,0.029262,0.029323,0.051006,0.05104
0.000851,0.012069,0.035104,0.035165,0.067845,0.067876
0.000807,0.008978,0.027043,0.027104,0.059314,0.059343
0.000846,0.00945,0.028139,0.028194,0.053251,0.053277
0.000728,0.008897,0.028527,0.028586,0.045069,0.045095
0.000792,0.009109,0.028609,0.028666,0.057703,0.057735
0.000817,0.009151,0.034611,0.034669,0.049554,0.049585
0.000784,0.01081,0.031817,0.031879,0.060242,0.060277
0.000804,0.00927,0.028368,0.02843,0.08419,0.08422
0.000807,0.012163,0.02787,0.027926,0.047377,0.047409
0.000802,0.008968,0.027249,0.027304,0.051112,0.051138
0.000842,0.009322,0.029616,0.029678,0.063439,0.063472
0.000817,0.011942,0.042765,0.042823,0.066683,0.066712
0.000813,0.009169,0.026851,0.026916,0.0447,0.044732
0.000793,0.012335,0.030383,0.030435,0.058291,0.058319
0.000796,0.009025,0.033714,0.033772,0.069811,0.069841
0.000831,0.009302,0.027961,0.028027,0.067255,0.067293
0.000808,0.011383,0.033894,0.033952,0.056933,0.056963
0.00081,0.009137,0.02991,0.029967,0.050272,0.050305
0.000735,0.008968,0.030542,0.030601,0.063735,0.063772
0.000834,0.009217,0.027115,0.027167,0.060407,0.060441
0.000823,0.009236,0.028712,0.028769,0.074796,0.074828
0.000799,0.009125,0.027813,0.027867,0.052289,0.052317
0.000784,0.009056,0.024715,0.024768,0.041085,0.041114
0.00083,0.009871,0.030166,0.030216,0.064785,0.064813
0.000793,0.009889,0.028008,0.028065,0.061175,0.061203
0.000798,0.009155,0.028657,0.028717,0.053552,0.053579
0.000772,0.015338,0.049474,0.049531,0.07314,0.073169
0.000864,0.009576,0.028583,0.028638,0.04933,0.049361
0.000828,0.008904,0.02469,0.02475,0.039187,0.039222
0.000856,0.00905,0.027233,0.027288,0.050277,0.050308
0.000859,0.009887,0.027723,0.02778,0.04254,0.042569
0.000783,0.008989,0.024807,0.024859,0.047725,0.047756
0.001179,0.012239,0.033675,0.033724,0.051764,0.051792
0.001209,0.009588,0.028187,0.028237,0.046861,0.046889
0.000788,0.009922,0.026675,0.026726,0.044291,0.044321
0.000779,0.009424,0.027766,0.027822,0.060252,0.060284
0.000818,0.009375,0.025997,0.026065,0.064801,0.064831
0.000804,0.009347,0.025955,0.026014,0.045774,0.045803
0.000738,0.009624,0.030497,0.030549,0.0578,0.057828
0.000799,0.009564,0.030435,0.030488,0.061451,0.061487
0.000807,0.009718,0.027827,0.027889,0.048837,0.048866
0.000844,0.009091,0.02855,0.028605,0.050979,0.051009
0.000793,0.00947,0.026378,0.026433,0.044021,0.044053
0.000801,0.009313,0.027328,0.027386,0.049636,0.049666
0.000784,0.009231,0.028222,0.028274,0.0541,0.054135
0.00083,0.009226,0.026389,0.026447,0.050699,0.050736
0.000752,0.009012,0.02472,0.024784,0.03882,0.038853
0.000758,0.009297,0.028763,0.028833,0.050951,0.050987
0.000802,0.009115,0.025109,0.025161,0.040607,0.040634
0.000817,0.009324,0.025856,0.02592,0.040774,0.040805
0.000762,0.00914,0.028029,0.028084,0.0588,0.058831
0.000857,0.009214,0.028215,0.028284,0.05198,0.052012
0.000785,0.009172,0.026466,0.02653,0.042629,0.042654
0.000783,0.01205,0.03353,0.033586,0.067233,0.067264
0.000803,0.009479,0.02877,0.028833,0.054556,0.054583
0.000775,0.009103,0.026646,0.026699,0.049254,0.049281
0.000777,0.009229,0.028668,0.028718,0.051691,0.051715
0.000792,0.009798,0.029451,0.029502,0.057994,0.058031
0.000801,0.009683,0.028659,0.028716,0.051548,0.051577
0.000826,0.009618,0.025506,0.025567,0.039992,0.040019
0.00073,0.008899,0.027776,0.02783,0.048749,0.048776
0.000788,0.009281,0.025451,0.025506,0.044914,0.044941
0.000777,0.009131,0.028269,0.02833,0.071752,0.071782
0.000806,0.009079,0.027986,0.02805,0.065144,0.065184
0.000881,0.009327,0.026131,0.026191,0.043834,0.043867
0.000809,0.008989,0.030851,0.030916,0.083635,0.08368
0.00084,0.009169,0.026644,0.026699,0.054267,0.054296
0.000822,0.009352,0.026566,0.026629,0.0476,0.047634
0.000814,0.0098,0.033794,0.033852,0.061797,0.061835
0.0008,0.009353,0.026733,0.026796,0.042973,0.043006
0.000795,0.009754,0.028502,0.028562,0.049723,0.049748
0.000779,0.009176,0.026708,0.026759,0.060102,0.060133
0.000808,0.012575,0.031292,0.031351,0.047417,0.047444
0.000793,0.009359,0.026352,0.026409,0.041149,0.041178
0.000776,0.009549,0.025896,0.025945,0.040795,0.040825
0.000772,0.01116,0.029203,0.029253,0.053467,0.053491
0.000804,0.008978,0.027569,0.02763,0.055606,0.055639
0.00078,0.009529,0.026459,0.026509,0.0434,0.043426
0.001213,0.010336,0.028395,0.02846,0.054728,0.054756
0.000775,0.009067,0.02608,0.026138,0.064409,0.064438
0.000834,0.009211,0.025057,0.025112,0.042558,0.042584
0.00078,0.008948,0.025778,0.025832,0.044145,0.044174
0.000768,0.009032,0.024723,0.024784,0.03879,0.038822
0.095082,0.103635,0.123703,0.123768,0.268583,0.268629
0.000838,0.01013,0.029015,0.029068,0.174832,0.174866
0.000856,0.009505,0.026829,0.026887,0.135968,0.136024
0.000895,0.009638,0.029933,0.029987,0.055595,0.055665
0.000842,0.009303,0.028949,0.029011,0.050256,0.050283
0.000992,0.010224,0.03005,0.030107,0.058161,0.05821
0.000886,0.009198,0.027696,0.027759,0.045306,0.045335
0.000936,0.009742,0.029438,0.029488,0.052198,0.052233
0.00103,0.010582,0.029944,0.029997,0.050998,0.051029
0.000774,0.009016,0.037398,0.037475,0.127439,0.127476
0.000898,0.009825,0.030266,0.030315,0.057692,0.057759
0.00087,0.009617,0.02816,0.028216,0.058788,0.058822
0.000892,0.009555,0.029678,0.029728,0.055802,0.055834
0.000915,0.00906,0.030828,0.03089,0.062548,0.062576
0.000849,0.009676,0.02776,0.027825,0.053592,0.053668
0.000859,0.009493,0.028717,0.028778,0.050852,0.050877
0.000858,0.009421,0.029024,0.02908,0.04784,0.047875
0.000804,0.009313,0.029138,0.02919,0.049945,0.049986
0.00082,0.009056,0.042135,0.042195,0.067299,0.067328
0.000792,0.009558,0.031191,0.031255,0.064436,0.064469
0.000941,0.009677,0.028991,0.02904,0.062919,0.062974
